,SCINAME,COMNAME,SVSPP,CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,STATYPE,HAUL,GEARCOND,SHG,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,TOGA,AREA,SVVESSEL,CRUNUM,SVGEAR,BEGIN_EST_TOWDATE,BEING_EST_TOWDATE,BEGIN_GMT_TOWDATE,BEGIN_GMT_TOWDATE_1,EST_YEAR,EST_MONTH,EST_DAY,EST_JULIAN_DAY,EST_TIME,GMT_YEAR,GMT_MONTH,GMT_DAY,GMT_JULIAN_DAY,GMT_TIME,TOWDUR,SETDEPTH,ENDDEPTH,MINDEPTH,MAXDEPTH,AVGDEPTH,BEGEKVLOG,ENDEKVLOG,BEGLAT,BEGLON,ENDLAT,ENDLON,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,LORS1,LORE1,LORS2,LORE2,CABLE,PITCH,HEADING,COURSE,RPM,DOPDISTB,DOPDISTW,DESSPEED,GEARID,DOORID,OTHGEAR,AIRTEMP,CLOUD,BAROPRESS,WINDDIR,WINDSP,WEATHER,WAVEHGT,SWELLDIR,SWELLHGT,BKTTEMP,TRASHAMT,TRASHSHL,TRASHBIO,TRASHSUB,XBT,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,FULD,NO_DETAIL_SVSPP,BOTSPEED,WATCH_CHIEF_COMMENTS,STATION_COMMENTS,HABITAT_COMMENTS,EXPCATCHNUM,EXPCATCHWT,SCIENTIFIC_NAME
1041,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03320,1.0,107.0,10.0,202304033200010107,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,625.0,HB,4.0,10.0,09/21/2023 20:18:07,09/21/2023 20:38:10,09/22/2023 01:18:07,09/22/2023 01:38:10,2023.0,9.0,21.0,2460209.0,20:18:07,2023.0,9.0,22.0,2460210.0,01:18:07,20.05,24.0,24.0,24.0,25.0,24.0,,,3742.52,7515.08,3743.02,7513.99,37.708667,-75.251333,37.717,-75.233167, , , , ,,,59.8,63.0,,1.125,,, , , ,,,,41.1,15.6,,,,,,,,,, ,23.86,31.789,23.85,31.787,,,3.4,,Crane secured at 2152.,,189.0,16.1,Cynoscion regalis (weakfish)
1042,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03320,3.0,108.0,10.0,202304033200030108,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1121.0,625.0,HB,4.0,10.0,09/21/2023 22:05:59,09/21/2023 22:26:04,09/22/2023 03:05:59,09/22/2023 03:26:04,2023.0,9.0,21.0,2460209.0,22:05:59,2023.0,9.0,22.0,2460210.0,03:05:59,20.09,27.0,27.0,26.0,27.0,27.0,,,3750.68,7506.38,3751.37,7505.46,37.844667,-75.106333,37.856167,-75.091, , , , ,,,47.0,35.0,,1.131,,, , , ,,,,73.1,16.4,,,,,,,,,, ,23.4,31.471,23.34,31.467,,,3.4,,,,154.0,16.973,Cynoscion regalis (weakfish)
1043,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03320,2.0,109.0,10.0,202304033200020109,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,625.0,HB,4.0,10.0,09/22/2023 00:06:18,09/22/2023 00:26:20,09/22/2023 05:06:18,09/22/2023 05:26:20,2023.0,9.0,22.0,2460210.0,00:06:18,2023.0,9.0,22.0,2460210.0,05:06:18,20.05,23.0,25.0,22.0,25.0,23.0,,,3754.94,7504.75,3755.65,7503.89,37.915667,-75.079167,37.9275,-75.064833, , , , ,,,51.2,45.0,,1.111,,, , , ,,,,60.5,16.8,,,,,,,,,, ,23.32,31.466,23.33,31.466,,,3.3,,,,92.0,10.075,Cynoscion regalis (weakfish)
1044,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03290,3.0,110.0,10.0,202304032900030110,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,621.0,HB,4.0,10.0,09/22/2023 01:56:28,09/22/2023 02:16:36,09/22/2023 06:56:28,09/22/2023 07:16:36,2023.0,9.0,22.0,2460210.0,01:56:28,2023.0,9.0,22.0,2460210.0,06:56:28,20.14,23.0,23.0,22.0,24.0,23.0,,,3804.42,7457.68,3805.37,7457.29,38.073667,-74.961333,38.0895,-74.954833, , , , ,,,19.3,8.0,,1.092,,, , , ,,,,46.8,16.5,,,,,,,,,, ,23.14,31.44,23.15,31.44,,,3.3,,hit hang instead of haulback,,243.0,28.236,Cynoscion regalis (weakfish)
1045,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03290,1.0,111.0,10.0,202304032900010111,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,"WSmean outside opt, within tol",2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,621.0,HB,4.0,10.0,09/22/2023 03:51:05,09/22/2023 04:11:05,09/22/2023 08:51:05,09/22/2023 09:11:05,2023.0,9.0,22.0,2460210.0,03:51:05,2023.0,9.0,22.0,2460210.0,08:51:05,20.0,23.0,22.0,22.0,23.0,23.0,,,3813.65,7457.05,3814.38,7456.23,38.2275,-74.950833,38.239667,-74.937167, , , , ,,,36.3,40.0,,1.084,,, , , ,,,,66.3,11.8,,,,,,,,,, ,23.07,30.957,23.1,31.094,,,3.3,,,,264.0,26.643,Cynoscion regalis (weakfish)
1046,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03260,2.0,113.0,10.0,202304032600020113,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,621.0,HB,4.0,10.0,09/24/2023 12:41:42,09/24/2023 13:01:43,09/24/2023 17:41:42,09/24/2023 18:01:43,2023.0,9.0,24.0,2460212.0,12:41:42,2023.0,9.0,24.0,2460212.0,17:41:42,20.02,23.0,22.0,21.0,23.0,22.0,,,3833.58,7452.73,3832.64,7452.38,38.559667,-74.878833,38.544,-74.873, , , , ,,,159.6,143.0,,1.08,,, , , ,,,,195.8,19.3,,,,,,,,,, ,22.1,31.021,22.1,31.021,,,3.2,,,,955.0,59.22,Cynoscion regalis (weakfish)
1047,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03260,1.0,114.0,10.0,202304032600010114,1.0,2.0,1.0,121.0,1.0,"RANDOM, within 1nm radius",3.0,Tow Duration 16.00 - 17.99min,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1311.0,621.0,HB,4.0,10.0,09/24/2023 14:48:01,09/24/2023 15:04:52,09/24/2023 19:48:01,09/24/2023 20:04:52,2023.0,9.0,24.0,2460212.0,14:48:01,2023.0,9.0,24.0,2460212.0,19:48:01,16.86,31.0,30.0,30.0,32.0,31.0,,,3838.81,7450.53,3838.01,7450.38,38.646833,-74.842167,38.6335,-74.839667, , , , ,,,182.7,168.0,,0.851,,, , , ,,,,201.7,15.2,,,,,,,,,, ,21.66,30.914,21.32,30.949,,,3.0,,early haulback due to gear,,350.0,31.376,Cynoscion regalis (weakfish)
1048,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03260,3.0,115.0,10.0,202304032600030115,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"WSmean outside opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,621.0,HB,4.0,10.0,09/24/2023 17:05:26,09/24/2023 17:25:25,09/24/2023 22:05:26,09/24/2023 22:25:25,2023.0,9.0,24.0,2460212.0,17:05:26,2023.0,9.0,24.0,2460212.0,22:05:26,19.98,18.0,18.0,17.0,19.0,18.0,,,3846.7,7448.47,3845.89,7449.18,38.778333,-74.807833,38.764833,-74.819667, , , , ,,,222.7,216.0,,1.124,,, , , ,,,,193.1,11.6,,,,,,,,,, ,21.57,30.783,21.57,30.783,,,3.4,,,,281.0,30.829,Cynoscion regalis (weakfish)
1049,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03230,1.0,116.0,10.0,202304032300010116,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/24/2023 21:05:46,09/24/2023 21:25:48,09/25/2023 02:05:46,09/25/2023 02:25:48,2023.0,9.0,24.0,2460212.0,21:05:46,2023.0,9.0,25.0,2460213.0,02:05:46,20.03,28.0,30.0,27.0,30.0,28.0,,,3905.19,7421.19,3904.46,7422.06,39.0865,-74.353167,39.074333,-74.367667, , , , ,,,213.1,203.0,,1.136,,, , , ,,,,240.5,13.4,,,,,,,,,, ,20.3,31.774,20.01,31.893,,,3.4,,,,10.0,1.28,Cynoscion regalis (weakfish)
1050,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03230,3.0,117.0,10.0,202304032300030117,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/24/2023 23:28:02,09/24/2023 23:48:05,09/25/2023 04:28:02,09/25/2023 04:48:05,2023.0,9.0,24.0,2460212.0,23:28:02,2023.0,9.0,25.0,2460213.0,04:28:02,20.05,23.0,24.0,23.0,24.0,23.0,,,3908.99,7421.78,3908.44,7422.81,39.149833,-74.363,39.140667,-74.380167, , , , ,,,229.7,230.0,,1.106,,, , , ,,,,211.6,11.2,,,,,,,,,, ,20.1,31.529,20.08,31.566,,,3.3,,2nd streaming was mistake,,54.0,6.11,Cynoscion regalis (weakfish)
1051,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03230,2.0,118.0,10.0,202304032300020118,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/25/2023 01:10:16,09/25/2023 01:30:18,09/25/2023 06:10:16,09/25/2023 06:30:18,2023.0,9.0,25.0,2460213.0,01:10:16,2023.0,9.0,25.0,2460213.0,06:10:16,20.02,21.0,21.0,20.0,23.0,22.0,,,3910.45,7428.62,3909.84,7427.66,39.174167,-74.477,39.164,-74.461, , , , ,,,111.0,114.0,,1.121,,, , , ,,,,248.2,7.6,,,,,,,,,, ,20.68,30.518,20.54,30.9,,,3.4,,,,229.0,25.727,Cynoscion regalis (weakfish)
1052,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03200,1.0,119.0,10.0,202304032000010119,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/25/2023 04:26:57,09/25/2023 04:46:59,09/25/2023 09:26:57,09/25/2023 09:46:59,2023.0,9.0,25.0,2460213.0,04:26:57,2023.0,9.0,25.0,2460213.0,09:26:57,20.02,22.0,21.0,21.0,22.0,22.0,,,3923.37,7408.91,3922.44,7409.38,39.3895,-74.1485,39.374,-74.156333, , , , ,,,186.5,181.0,,1.1,,, , , ,,,,218.3,3.1,,,,,,,,,, ,20.12,31.273,20.05,31.554,,,3.3,,,,208.0,28.875,Cynoscion regalis (weakfish)
1053,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03200,2.0,120.0,10.0,202304032000020120,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/25/2023 06:39:29,09/25/2023 06:59:28,09/25/2023 11:39:29,09/25/2023 11:59:28,2023.0,9.0,25.0,2460213.0,06:39:29,2023.0,9.0,25.0,2460213.0,11:39:29,19.99,28.0,28.0,28.0,29.0,29.0,,,3916.21,7410.06,3916.6,7408.91,39.270167,-74.167667,39.276667,-74.1485, , , , ,,,59.1,71.0,,1.093,,, , , ,,,,205.6,4.8,,,,,,,,,, ,20.0,31.488,20.03,31.644,,,3.3,,net on deck 1210,,74.0,11.27,Cynoscion regalis (weakfish)
1054,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01730,1.0,121.0,10.0,202304017300010121,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,614.0,HB,4.0,10.0,09/25/2023 08:05:27,09/25/2023 08:25:26,09/25/2023 13:05:27,09/25/2023 13:25:26,2023.0,9.0,25.0,2460213.0,08:05:27,2023.0,9.0,25.0,2460213.0,13:05:27,19.99,28.0,30.0,28.0,30.0,28.0,,,3916.51,7402.82,3916.78,7401.61,39.275167,-74.047,39.279667,-74.026833, , , , ,,,65.0,68.0,,1.073,,, , , ,,,,226.8,3.6,,,,,,,,,, ,19.93,31.725,20.08,31.898,,,3.2,,,,7.0,1.32,Cynoscion regalis (weakfish)
1055,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01730,2.0,122.0,10.0,202304017300020122,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4.0,10.0,09/25/2023 09:37:27,09/25/2023 09:57:27,09/25/2023 14:37:27,09/25/2023 14:57:27,2023.0,9.0,25.0,2460213.0,09:37:27,2023.0,9.0,25.0,2460213.0,14:37:27,20.0,38.0,40.0,38.0,40.0,39.0,,,3918.25,7353.31,3918.51,7352.09,39.304167,-73.8885,39.3085,-73.868167, , , , ,,,63.7,71.0,,1.075,,, , , ,,,,248.2,2.3,,,,,,,,,, ,19.66,32.174,19.53,32.535,,,3.2,,,,2.0,0.52,Cynoscion regalis (weakfish)
1056,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03450,1.0,129.0,10.0,202304034500010129,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,539.0,HB,4.0,10.0,10/06/2023 00:50:51,10/06/2023 01:10:47,10/06/2023 05:50:51,10/06/2023 06:10:47,2023.0,10.0,6.0,2460224.0,00:50:51,2023.0,10.0,6.0,2460224.0,05:50:51,19.94,38.0,41.0,38.0,41.0,40.0,,,4113.91,7131.44,4112.99,7131.01,41.231833,-71.524,41.2165,-71.516833, , , , ,,,168.1,180.0,,1.073,,, , , ,,,,102.9,10.1,,,,,,,,,, ,,,,,,,3.2,,cowbell opened during stream; reset,,3.0,0.573,Cynoscion regalis (weakfish)
1057,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03020,2.0,130.0,10.0,202304030200020130,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,611.0,HB,4.0,10.0,10/06/2023 03:27:55,10/06/2023 03:47:56,10/06/2023 08:27:55,10/06/2023 08:47:56,2023.0,10.0,6.0,2460224.0,03:27:55,2023.0,10.0,6.0,2460224.0,08:27:55,20.01,41.0,39.0,39.0,41.0,40.0,,,4104.87,7143.29,4103.91,7143.01,41.081167,-71.7215,41.065167,-71.716833, , , , ,,,165.6,170.0,,1.051,,, , , ,,,,61.0,5.6,,,,,,,,,, ,,,,,,,3.2,,,,19.0,5.9,Cynoscion regalis (weakfish)
1058,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01050,1.0,138.0,10.0,202304010500010138,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,613.0,HB,4.0,10.0,10/07/2023 01:34:53,10/07/2023 01:54:51,10/07/2023 06:34:53,10/07/2023 06:54:51,2023.0,10.0,7.0,2460225.0,01:34:53,2023.0,10.0,7.0,2460225.0,06:34:53,19.97,54.0,55.0,53.0,55.0,54.0,,,4042.89,7151.69,4042.94,7150.43,40.714833,-71.8615,40.715667,-71.8405, , , , ,,,87.6,78.0,,0.975,,, , , ,,,,86.9,13.0,,,,,,,,,, ,17.31,31.871,16.59,32.23,,,2.9,,,,2.0,0.733,Cynoscion regalis (weakfish)
1059,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03020,3.0,139.0,10.0,202304030200030139,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,613.0,HB,4.0,10.0,10/07/2023 04:22:05,10/07/2023 04:42:06,10/07/2023 09:22:05,10/07/2023 09:42:06,2023.0,10.0,7.0,2460225.0,04:22:05,2023.0,10.0,7.0,2460225.0,09:22:05,20.0,22.0,23.0,22.0,24.0,23.0,,,4059.2,7154.05,4059.51,7152.83,40.986667,-71.900833,40.991833,-71.8805, , , , ,,,82.2,78.0,,1.076,,, , , ,,,,85.9,12.9,,,,,,,,,, ,18.34,30.582,18.24,30.68,,,3.2,,,,3.0,0.68,Cynoscion regalis (weakfish)
1060,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03080,3.0,146.0,10.0,202304030800030146,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",3.0,Acquisition Code Value = 4,1.0,No damage/malfunction,4.0,HGT < 25% data acq.,1314.0,612.0,HB,4.0,10.0,10/07/2023 19:47:31,10/07/2023 20:07:31,10/08/2023 00:47:31,10/08/2023 01:07:31,2023.0,10.0,7.0,2460225.0,19:47:31,2023.0,10.0,8.0,2460226.0,00:47:31,20.01,23.0,24.0,21.0,24.0,23.0,,,4036.89,7300.93,4037.1,7302.2,40.614833,-73.0155,40.618333,-73.036667, , , , ,,,285.4,276.0,,1.062,,, , , ,,,,302.6,24.9,,,,,,,,,, ,18.84,31.24,17.85,31.499,,,3.2,,,,5.0,1.347,Cynoscion regalis (weakfish)
1061,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03140,3.0,147.0,10.0,202304031400030147,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 01:09:05,10/08/2023 01:29:03,10/08/2023 06:09:05,10/08/2023 06:29:03,2023.0,10.0,8.0,2460226.0,01:09:05,2023.0,10.0,8.0,2460226.0,06:09:05,19.96,25.0,26.0,25.0,26.0,26.0,,,4028.6,7342.89,4028.97,7344.03,40.476667,-73.714833,40.482833,-73.733833, , , , ,,,286.2,277.0,,1.055,,, , , ,,,,275.8,20.0,,,,,,,,,, ,18.65,30.841,18.5,31.799,,,3.2,,,,3.0,0.57,Cynoscion regalis (weakfish)
1062,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03140,2.0,148.0,10.0,202304031400020148,1.0,1.0,1.0,111.0,1.0,"RANDOM,outside 1nm within 3nm",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 05:54:56,10/08/2023 06:14:56,10/08/2023 10:54:56,10/08/2023 11:14:56,2023.0,10.0,8.0,2460226.0,05:54:56,2023.0,10.0,8.0,2460226.0,10:54:56,20.0,29.0,27.0,27.0,29.0,28.0,,,4028.11,7345.64,4028.35,7346.89,40.4685,-73.760667,40.4725,-73.7815, , , , ,,,283.2,286.0,,1.068,,, , , ,,,,264.5,27.6,,,,,,,,,, ,18.54,30.696,18.43,31.76,,,3.2,moved to 3 mile ring due to vessel traffic,,,2.0,0.32,Cynoscion regalis (weakfish)
1063,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01010,4.0,150.0,10.0,202304010100040150,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 11:08:57,10/08/2023 11:28:59,10/08/2023 16:08:57,10/08/2023 16:28:59,2023.0,10.0,8.0,2460226.0,11:08:57,2023.0,10.0,8.0,2460226.0,16:08:57,20.04,39.0,37.0,37.0,39.0,38.0,,,4011.84,7335.48,4011.85,7336.76,40.197333,-73.591333,40.1975,-73.612667, , , , ,,,251.7,249.0,,1.055,,, , , ,,,,264.7,15.7,,,,,,,,,, ,18.47,32.009,18.65,32.328,,,3.2,,,,4.0,1.295,Cynoscion regalis (weakfish)
1064,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01010,2.0,151.0,10.0,202304010100020151,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 14:22:55,10/08/2023 14:42:52,10/08/2023 19:22:55,10/08/2023 19:42:52,2023.0,10.0,8.0,2460226.0,14:22:55,2023.0,10.0,8.0,2460226.0,19:22:55,19.95,36.0,35.0,35.0,36.0,35.0,,,4024.32,7310.6,4024.8,7311.72,40.405333,-73.176667,40.413333,-73.195333, , , , ,,,283.9,297.0,,1.105,,, , , ,,,,247.1,21.9,,,,,,,,,, ,18.14,31.883,18.1,31.918,,,3.3,,,,1.0,0.282,Cynoscion regalis (weakfish)
1065,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03110,1.0,153.0,10.0,202304031100010153,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 18:22:15,10/08/2023 18:42:17,10/08/2023 23:22:15,10/08/2023 23:42:17,2023.0,10.0,8.0,2460226.0,18:22:15,2023.0,10.0,8.0,2460226.0,23:22:15,20.02,27.0,26.0,22.0,27.0,26.0,,,4025.66,7324.19,4025.69,7325.48,40.427667,-73.403167,40.428167,-73.424667, , , , ,,,262.5,254.0,,1.02,,, , , ,,,,244.5,15.0,,,,,,,,,, ,18.18,31.058,18.27,31.788,,,3.1,,,,2.0,0.54,Cynoscion regalis (weakfish)
1066,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03110,2.0,154.0,10.0,202304031100020154,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 20:29:28,10/08/2023 20:49:28,10/09/2023 01:29:28,10/09/2023 01:49:28,2023.0,10.0,8.0,2460226.0,20:29:28,2023.0,10.0,9.0,2460227.0,01:29:28,20.0,24.0,27.0,23.0,28.0,26.0,,,4023.45,7329.93,4023.45,7331.25,40.390833,-73.498833,40.390833,-73.520833, , , , ,,,270.8,266.0,,1.019,,, , , ,,,,253.9,20.6,,,,,,,,,, ,18.27,31.441,18.34,31.533,,,3.1,,,,2.0,0.45,Cynoscion regalis (weakfish)
1067,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01010,6.0,155.0,10.0,202304010100060155,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 23:26:04,10/08/2023 23:46:02,10/09/2023 04:26:04,10/09/2023 04:46:02,2023.0,10.0,8.0,2460226.0,23:26:04,2023.0,10.0,9.0,2460227.0,04:26:04,19.96,34.0,32.0,31.0,34.0,33.0,,,4001.55,7337.02,4001.11,7338.19,40.025833,-73.617,40.0185,-73.6365, , , , ,,,247.6,237.0,,1.111,,, , , ,,,,271.5,21.7,,,,,,,,,, ,18.04,32.102,17.69,32.23,,,3.3,,,,2.0,1.11,Cynoscion regalis (weakfish)
1068,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03170,2.0,156.0,10.0,202304031700020156,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4.0,10.0,10/09/2023 01:39:01,10/09/2023 01:59:00,10/09/2023 06:39:01,10/09/2023 06:59:00,2023.0,10.0,9.0,2460227.0,01:39:01,2023.0,10.0,9.0,2460227.0,06:39:01,19.98,25.0,26.0,24.0,27.0,26.0,,,3953.23,7352.73,3952.99,7353.96,39.887167,-73.878833,39.883167,-73.899333, , , , ,,,250.1,246.0,,1.053,,, , , ,,,,260.6,20.0,,,,,,,,,, ,18.74,31.262,18.91,31.99,,,3.2,,,,1.0,0.246,Cynoscion regalis (weakfish)
1069,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,03450,3.0,262.0,10.0,202304034500030262,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,539.0,HB,4.0,10.0,10/23/2023 20:35:34,10/23/2023 20:55:38,10/24/2023 01:35:34,10/24/2023 01:55:38,2023.0,10.0,23.0,2460241.0,20:35:34,2023.0,10.0,24.0,2460242.0,01:35:34,20.06,33.0,32.0,32.0,34.0,33.0,,,4123.9,7119.27,4124.86,7118.85,41.398333,-71.321167,41.414333,-71.314167, , , , ,,,18.7,23.0,,1.093,,, , , ,,,,352.3,11.2,,,,,,,,,, ,15.95,31.388,15.82,31.701,,,3.3,,,,8.0,2.541,Cynoscion regalis (weakfish)
1070,CYNOSCION REGALIS,WEAKFISH,145,202304.0,202304.0,01050,4.0,263.0,10.0,202304010500040263,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,537.0,HB,4.0,10.0,10/30/2023 16:42:15,10/30/2023 17:02:15,10/30/2023 21:42:15,10/30/2023 22:02:15,2023.0,10.0,30.0,2460248.0,16:42:15,2023.0,10.0,30.0,2460248.0,21:42:15,20.0,37.0,40.0,37.0,40.0,38.0,,,4117.63,7058.09,4116.67,7058.56,41.293833,-70.968167,41.277833,-70.976, , , , ,,,199.1,200.0,,1.118,,, , , ,,,,332.6,13.8,,,,,,,,,, ,15.79,31.494,15.75,31.531,,,3.4,,,,12.0,4.995,Cynoscion regalis (weakfish)
